year;world_import;world_export
1960;7554;7555
1961;7554;8424
1962;7554;9529
1963;7554;10527
1964;7554;12611
1965;7554;14032
1966;7554;16105
1967;7554;17227
1968;7554;19480
1969;20672;22069
1970;23042;24661
1971;24931;26772
1972;27023;29119
1973;31031;33202
1974;30168;32544
1975;28039;30142
1976;31230;34308
1977;32678;35160
1978;32032;33928
1979;32986;35615
1980;29843;41354
1981;26310;28250
1982;23879;24887
1983;22462;23801
1984;22468;24032
1985;21065;22962
1986;23198;25428
1987;23768;25147
1988;24808;26845
1989;26332;28079
1990;27351;28985
1991;27520;28838
1992;29437;30569
1993;31018;31237
1994;31816;31944
1995;32491;32822
1996;34332;33841
1997;36641;35198
1998;37121;36981
1999;37694;35915
2000;39769;38371
2001;39534;37285
2002;39252;36243
2003;41371;38251
2004;44243;41112
2005;44687;41715
2006;45555;41969
2007;44838;42297
2008;45119;40993
2009;43372;40200
2010;44075;41032
2011;43658;40444
2012;44176;41107
2013;42759;39830
