year	prices	import	export
1960	14.93	7554	7555
1961	14.01	7554	8424
1962	13.85	7554	9529
1963	13.69	7554	10527
1964	13.50	7554	12611
1965	13.28	7554	14032
1966	12.92	7554	16105
1967	12.55	7554	17227
1968	12.05	7554	19480
1969	11.43	20672	22069
1970	10.79	23042	24661
1971	12.87	24931	26772
1972	13.81	27023	29119
1973	17.25	31031	33202
1974	54.74	30168	32544
1975	49.93	28039	30142
1976	52.39	31230	34308
1977	53.47	32678	35160
1978	50.09	32032	33928
1979	101.43	32986	35615
1980	104.12	29843	41354
1981	92.08	26310	28250
1982	79.59	23879	24887
1983	69.12	22462	23801
1984	64.53	22468	24032
1985	59.67	21065	22962
1986	30.67	23198	25428
1987	37.80	23768	25147
1988	29.39	24808	26845
1989	34.24	26332	28079
1990	42.29	27351	28985
1991	34.21	27520	28838
1992	32.08	29437	30569
1993	27.36	31018	31237
1994	24.86	31816	31944
1995	26.01	32491	32822
1996	30.69	34332	33841
1997	27.71	36641	35198
1998	18.17	37121	36981
1999	25.13	37694	35915
2000	38.55	39769	38371
2001	32.15	39534	37285
2002	32.40	39252	36243
2003	36.50	41371	38251
2004	47.19	44243	41112
2005	65.03	44687	41715
2006	75.28	45555	41969
2007	81.33	44838	42297
2008	105.23	45119	40993
2009	66.97	43372	40200
2010	84.93	44075	41032
2011	115.22	43658	40444
2012	113.31	44176	41107
2013	108.66	42759	39830		
